"Record ID","Deal Name","Evaluated competitors Current Value","Change Date (Asia/Jerusalem)","Change Source","Changed By","Previous Value (1)","Change Date (1) (Asia/Jerusalem)","Change Source (1)","Changed By (1)","Previous Value (2)","Change Date (2) (Asia/Jerusalem)","Change Source (2)","Changed By (2)","..."
"33723423052","AT&T","Backstage","2025-03-13 10:52","CRM UI","Gal Tarrab Levi"
"20508643613","EP","Backstage","2024-07-16 13:14","CRM UI","Gal Tarrab Levi"
"45064475914","Aurigo Software","Backstage","2025-10-27 14:58","CRM UI","Daniel Alper"
"16250253687","Evolent","Backstage; Cortex; Opslevel; Humanitech; Roadie","2024-02-22 09:36","CRM UI","Gal Tarrab Levi"
"13946384021","Medline","Cortex; Backstage; Opslevel; Compass","2024-02-01 03:06","Playbooks","Deal Review by Deactivated user"
"53105348631","Data Axle","None","2026-02-17 22:03","CRM UI","John Romano"
"22369894531","One Medical","Backstage; Opslevel","2024-10-20 10:49","CRM UI","Gal Tarrab Levi"
"18435029273","IXL","Cortex; Backstage","2024-04-15 09:49","CRM UI","Gal Tarrab Levi"
"28998377548","Medtronic - Nov 2025 Flat Renewal","None","2025-10-24 21:52","CRM UI","Deactivated user"
"32022642840","CentralSquare","Backstage; Roadie","2025-02-10 11:55","CRM UI","Gal Tarrab Levi"
"29593794866","AE Studio","Backstage; Humanitech","2025-01-23 10:33","CRM UI","Gal Tarrab Levi"
"17390361655","LendBuzz, Inc","Backstage; Roadie","2024-03-18 13:30","CRM UI","Gal Tarrab Levi","Backstage","2024-02-22 09:26","CRM UI","Gal Tarrab Levi"
"29386081114","Intuit","Backstage","2024-11-24 11:13","CRM UI","Gal Tarrab Levi"
"29881537631","JumpCloud","Backstage; Roadie","2024-12-19 12:26","CRM UI","Gal Tarrab Levi"
"15955867703","UiPath","Backstage","2024-02-22 09:41","CRM UI","Gal Tarrab Levi"
"37170768934","Legal & General (OneTech)","None","2025-09-11 12:10","CRM UI","Deactivated user"
"31997328162","Brightcove, Inc. ","Backstage","2025-02-04 12:08","CRM UI","Gal Tarrab Levi"
